host_since,first_review,neighbourhood_cleansed
2011-11-17,2014-07-03,ΚΕΡΑΜΕΙΚΟΣ
2011-05-29,2015-04-06,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2013-09-26,2014-12-24,ΑΜΠΕΛΟΚΗΠΟΙ
2013-07-23,2014-07-22,ΚΕΡΑΜΕΙΚΟΣ
2014-07-04,2014-07-09,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2014-03-04,2015-03-02,ΑΜΠΕΛΟΚΗΠΟΙ
2014-07-05,2017-09-10,ΙΛΙΣΙΑ
2013-06-05,2014-10-06,ΚΥΨΕΛΗ
2014-07-06,2014-10-16,ΠΕΤΡΑΛΩΝΑ
2013-01-29,2016-05-15,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-07-16,2014-09-16,ΠΑΓΚΡΑΤΙ
2014-07-14,2018-04-29,ΓΚΑΖΙ
2014-02-13,2014-08-14,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-07-17,2016-05-30,ΓΚΑΖΙ
2014-07-21,2014-09-20,ΘΗΣΕΙΟ
2014-07-25,2014-09-22,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2014-07-31,2014-08-08,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-04-09,2016-07-22,ΚΥΨΕΛΗ
2014-07-01,2014-09-01,ΑΚΡΟΠΟΛΗ
2014-08-03,2014-08-26,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2014-08-04,2019-12-21,ΙΛΙΣΙΑ
2014-08-09,2015-01-03,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-07-16,2017-04-27,ΚΟΛΩΝΑΚΙ
2014-08-13,2015-07-22,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2010-10-13,2016-05-08,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-08-22,2014-09-28,ΓΚΥΖΗ
2012-04-07,2014-09-14,ΠΑΓΚΡΑΤΙ
